"Time","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp","/usr/local/bin/scaphandre","/bin/bash","/usr/bin/mongod"
2024-12-17 21:49:30,463 kB,0 B,0 B,24.6 kB
2024-12-17 21:49:45,0 B,0 B,0 B,24.6 kB
2024-12-17 21:50:00,0 B,0 B,0 B,24.6 kB
2024-12-17 21:50:15,0 B,0 B,0 B,24.6 kB
2024-12-17 21:50:30,0 B,0 B,0 B,28.7 kB
2024-12-17 21:50:45,0 B,0 B,0 B,28.7 kB
2024-12-17 21:51:00,56.2 MB,0 B,0 B,28.7 kB
2024-12-17 21:51:15,31.4 MB,0 B,0 B,28.7 kB
2024-12-17 21:51:30,81.4 MB,0 B,0 B,32.8 kB
2024-12-17 21:51:45,106 MB,0 B,0 B,32.8 kB
2024-12-17 21:52:00,63.4 MB,0 B,0 B,36.9 kB
2024-12-17 21:52:15,113 MB,0 B,0 B,36.9 kB
2024-12-17 21:52:30,71.6 MB,0 B,0 B,36.9 kB
2024-12-17 21:52:45,63.7 MB,0 B,0 B,41.0 kB
2024-12-17 21:53:00,55.2 MB,0 B,0 B,41.0 kB
2024-12-17 21:53:15,108 MB,0 B,0 B,86.0 kB
2024-12-17 21:53:30,116 MB,0 B,0 B,20.5 kB
2024-12-17 21:53:45,7.95 MB,0 B,0 B,20.5 kB
2024-12-17 21:54:00,88.8 MB,0 B,0 B,24.6 kB
2024-12-17 21:54:15,9.54 MB,0 B,0 B,24.6 kB
2024-12-17 21:54:30,95.0 MB,0 B,0 B,24.6 kB
2024-12-17 21:54:45,23.9 MB,0 B,0 B,28.7 kB
2024-12-17 21:55:00,10.6 MB,0 B,0 B,28.7 kB
2024-12-17 21:55:15,16.7 MB,0 B,0 B,28.7 kB
2024-12-17 21:55:30,0 B,0 B,0 B,32.8 kB
2024-12-17 21:55:45,0 B,0 B,0 B,32.8 kB
2024-12-17 21:56:00,0 B,0 B,0 B,32.8 kB
2024-12-17 21:56:15,0 B,0 B,0 B,32.8 kB
2024-12-17 21:56:30,84.0 MB,0 B,0 B,36.9 kB
2024-12-17 21:56:45,2.21 GB,0 B,0 B,36.9 kB
2024-12-17 21:57:00,29.0 MB,0 B,0 B,36.9 kB
2024-12-17 21:57:15,9.22 MB,0 B,0 B,36.9 kB
2024-12-17 21:57:30,3.93 MB,0 B,0 B,41.0 kB
2024-12-17 21:57:45,12.1 MB,0 B,0 B,41.0 kB
2024-12-17 21:58:00,98.8 MB,0 B,0 B,45.1 kB
2024-12-17 21:58:15,186 MB,0 B,0 B,90.1 kB
2024-12-17 21:58:30,107 MB,0 B,0 B,32.8 kB
2024-12-17 21:58:45,169 MB,0 B,0 B,20.5 kB
2024-12-17 21:59:00,212 MB,0 B,0 B,24.6 kB
2024-12-17 21:59:15,240 MB,0 B,0 B,24.6 kB
2024-12-17 21:59:30,275 MB,0 B,0 B,111 kB
2024-12-17 21:59:45,344 MB,0 B,0 B,28.7 kB
2024-12-17 22:00:00,252 MB,0 B,0 B,28.7 kB
2024-12-17 22:00:15,114 MB,0 B,0 B,28.7 kB
2024-12-17 22:00:30,69.7 MB,0 B,0 B,94.2 kB
2024-12-17 22:00:45,112 MB,0 B,0 B,32.8 kB
2024-12-17 22:01:00,0 B,0 B,0 B,36.9 kB
2024-12-17 22:01:15,0 B,0 B,0 B,36.9 kB
2024-12-17 22:01:30,0 B,0 B,0 B,94.2 kB
2024-12-17 22:01:45,4.53 MB,0 B,0 B,36.9 kB
2024-12-17 22:02:00,112 MB,0 B,0 B,41.0 kB
2024-12-17 22:02:15,1.23 GB,0 B,0 B,41.0 kB
2024-12-17 22:02:30,263 MB,0 B,0 B,111 kB
2024-12-17 22:02:45,87.6 MB,0 B,0 B,41.0 kB
2024-12-17 22:03:00,5.94 MB,0 B,0 B,45.1 kB
2024-12-17 22:03:15,21.4 MB,0 B,0 B,94.2 kB
2024-12-17 22:03:30,52.1 MB,0 B,0 B,127 kB
2024-12-17 22:03:45,104 MB,0 B,0 B,20.5 kB
2024-12-17 22:04:00,184 MB,0 B,0 B,24.6 kB
2024-12-17 22:04:15,130 MB,0 B,0 B,24.6 kB
2024-12-17 22:04:30,122 MB,0 B,0 B,111 kB
2024-12-17 22:04:45,190 MB,0 B,0 B,28.7 kB
2024-12-17 22:05:00,225 MB,0 B,0 B,28.7 kB
2024-12-17 22:05:15,205 MB,0 B,0 B,28.7 kB
2024-12-17 22:05:30,195 MB,0 B,0 B,98.3 kB
2024-12-17 22:05:45,242 MB,0 B,0 B,32.8 kB
2024-12-17 22:06:00,126 MB,0 B,0 B,32.8 kB
2024-12-17 22:06:15,100 MB,0 B,0 B,36.9 kB
2024-12-17 22:06:30,90.0 MB,0 B,0 B,102 kB
2024-12-17 22:06:45,69.6 MB,0 B,0 B,36.9 kB
2024-12-17 22:07:00,83.5 MB,0 B,0 B,41.0 kB
2024-12-17 22:07:15,23.5 MB,0 B,0 B,41.0 kB
2024-12-17 22:07:30,6.81 MB,0 B,0 B,41.0 kB
2024-12-17 22:07:45,0 B,0 B,0 B,106 kB
2024-12-17 22:08:00,0 B,0 B,0 B,45.1 kB
2024-12-17 22:08:15,0 B,0 B,0 B,90.1 kB
2024-12-17 22:08:30,32.8 MB,0 B,0 B,20.5 kB
2024-12-17 22:08:45,91.3 MB,0 B,0 B,123 kB
2024-12-17 22:09:00,790 MB,0 B,0 B,24.6 kB
2024-12-17 22:09:15,1.42 GB,0 B,0 B,24.6 kB
2024-12-17 22:09:30,299 MB,0 B,0 B,24.6 kB
2024-12-17 22:09:45,148 MB,0 B,0 B,119 kB
2024-12-17 22:10:00,11.4 MB,0 B,0 B,28.7 kB
2024-12-17 22:10:15,8.23 MB,0 B,0 B,28.7 kB
2024-12-17 22:10:30,123 MB,0 B,0 B,32.8 kB
2024-12-17 22:10:45,205 MB,0 B,0 B,94.2 kB
2024-12-17 22:11:00,179 MB,0 B,0 B,32.8 kB
2024-12-17 22:11:15,96.7 MB,0 B,0 B,36.9 kB
2024-12-17 22:11:30,136 MB,0 B,0 B,36.9 kB
2024-12-17 22:11:45,77.4 MB,0 B,0 B,102 kB
2024-12-17 22:12:00,133 MB,0 B,0 B,41.0 kB
2024-12-17 22:12:15,56.6 MB,0 B,0 B,41.0 kB
2024-12-17 22:12:30,97.8 MB,0 B,0 B,41.0 kB
2024-12-17 22:12:45,53.5 MB,0 B,0 B,111 kB
2024-12-17 22:13:00,144 MB,0 B,0 B,45.1 kB
2024-12-17 22:13:15,62.3 MB,0 B,0 B,94.2 kB
2024-12-17 22:13:30,114 MB,0 B,0 B,20.5 kB
2024-12-17 22:13:45,69.1 MB,0 B,0 B,119 kB
2024-12-17 22:14:00,93.5 MB,0 B,0 B,24.6 kB
2024-12-17 22:14:15,35.7 MB,0 B,0 B,24.6 kB
2024-12-17 22:14:30,27.3 MB,0 B,0 B,24.6 kB
2024-12-17 22:14:45,93.2 MB,0 B,0 B,28.7 kB
2024-12-17 22:15:00,29.8 MB,0 B,0 B,28.7 kB
2024-12-17 22:15:15,31.9 MB,0 B,0 B,28.7 kB
2024-12-17 22:15:30,45.1 MB,0 B,0 B,32.8 kB
2024-12-17 22:15:45,16.3 MB,0 B,0 B,32.8 kB
2024-12-17 22:16:00,27.8 MB,0 B,0 B,32.8 kB
2024-12-17 22:16:15,52.5 MB,0 B,0 B,36.9 kB
2024-12-17 22:16:30,44.4 MB,0 B,0 B,36.9 kB
2024-12-17 22:16:45,27.8 MB,0 B,0 B,36.9 kB
2024-12-17 22:17:00,27.0 MB,0 B,0 B,41.0 kB
2024-12-17 22:17:15,20.5 MB,0 B,0 B,41.0 kB
2024-12-17 22:17:30,15.9 MB,0 B,0 B,41.0 kB
2024-12-17 22:17:45,42.7 MB,0 B,0 B,45.1 kB
2024-12-17 22:18:00,31.5 MB,0 B,0 B,45.1 kB
2024-12-17 22:18:15,19.7 MB,0 B,0 B,94.2 kB
2024-12-17 22:18:30,13.9 MB,0 B,0 B,20.5 kB
2024-12-17 22:18:45,0 B,0 B,0 B,20.5 kB
2024-12-17 22:19:00,0 B,0 B,0 B,20.5 kB
2024-12-17 22:19:15,0 B,0 B,0 B,24.6 kB
2024-12-17 22:19:30,0 B,0 B,0 B,24.6 kB
2024-12-17 22:19:45,0 B,0 B,0 B,24.6 kB
2024-12-17 22:20:00,0 B,0 B,0 B,28.7 kB
2024-12-17 22:20:15,1.44 GB,0 B,0 B,28.7 kB