Time, 300_1_Direct_100_100 , 300_1_Fanout_100_100 
0:00:00,0.187 W,0.446 W
0:00:15,1.06 W,0.695 W
0:00:30,2.90 W,1.07 W
0:00:45,4.14 W,1.09 W
0:01:00,3.76 W,1.52 W
0:01:15,3.82 W,2.00 W
0:01:30,3.61 W,2.25 W
0:01:45,3.52 W,2.58 W
0:02:00,3.90 W,2.66 W
0:02:15,3.48 W,3.22 W
0:02:30,3.75 W,3.28 W
0:02:45,3.31 W,3.19 W
0:03:00,3.48 W,2.89 W
0:03:15,3.92 W,3.22 W
0:03:30,4.19 W,2.97 W
0:03:45,4.16 W,2.98 W
0:04:00,3.75 W,3.23 W
0:04:15,3.64 W,3.08 W
0:04:30,3.37 W,2.84 W
0:04:45,3.23 W,2.24 W
0:05:00,3.44 W,2.83 W
0:05:15,3.79 W,3.13 W
0:05:30,3.79 W,3.20 W
0:05:45,3.51 W,2.84 W
0:06:00,3.18 W,2.62 W
0:06:15,3.77 W,3.11 W
0:06:30,3.59 W,3.24 W
0:06:45,3.49 W,3.16 W
0:07:00,3.49 W,3.17 W
0:07:15,3.61 W,3.12 W
0:07:30,3.48 W,3.76 W
0:07:45,3.83 W,3.95 W
0:08:00,3.70 W,3.81 W
0:08:15,4.38 W,3.63 W
0:08:30,3.41 W,3.62 W
0:08:45,3.27 W,2.95 W
0:09:00,3.58 W,2.73 W
0:09:15,3.87 W,3.33 W
0:09:30,3.65 W,3.08 W
0:09:45,3.76 W,3.16 W
0:10:00,3.91 W,3.20 W
0:10:15,4.30 W,3.56 W
0:10:30,3.89 W,3.65 W
0:10:45,3.72 W,3.38 W
0:11:00,3.74 W,3.76 W
0:11:15,4.01 W,3.66 W
0:11:30,3.95 W,3.19 W
0:11:45,3.93 W,3.08 W
0:12:00,3.86 W,3.06 W
0:12:15,4.15 W,2.95 W
0:12:30,4.19 W,3.09 W
0:12:45,4.15 W,3.60 W
0:13:00,3.72 W,3.17 W
0:13:15,3.94 W,3.59 W
0:13:30,3.55 W,3.83 W
0:13:45,3.64 W,3.42 W
0:14:00,3.55 W,3.84 W
0:14:15,3.51 W,3.59 W
0:14:30,3.88 W,3.10 W
0:14:45,3.90 W,3.65 W
0:15:00,3.96 W,3.45 W
0:15:15,3.84 W,2.84 W
0:15:30,3.93 W,3.40 W
0:15:45,3.90 W,2.74 W
0:16:00,4.01 W,3.87 W
0:16:15,4.11 W,3.83 W
0:16:30,3.72 W,3.55 W
0:16:45,4.35 W,3.13 W
0:17:00,4.01 W,2.53 W
0:17:15,4.30 W,2.79 W
0:17:30,3.84 W,3.51 W
0:17:45,4.09 W,3.04 W
0:18:00,4.08 W,2.94 W
0:18:15,4.03 W,3.51 W
0:18:30,3.83 W,3.41 W
0:18:45,3.94 W,3.16 W
0:19:00,3.78 W,3.25 W
0:19:15,3.96 W,3.39 W
0:19:30,4.00 W,3.08 W
0:19:45,3.47 W,3.16 W
0:20:00,4.09 W,3.15 W
0:20:15,4.36 W,3.07 W
0:20:30,3.95 W,2.91 W
0:20:45,4.12 W,3.16 W
0:21:00,3.73 W,3.71 W
0:21:15,4.24 W,3.79 W
0:21:30,3.82 W,3.15 W
0:21:45,3.82 W,3.14 W
0:22:00,3.23 W,3.54 W
0:22:15,3.85 W,2.92 W
0:22:30,3.31 W,2.97 W
0:22:45,4.17 W,2.93 W
0:23:00,3.95 W,3.09 W
0:23:15,3.99 W,3.66 W
0:23:30,3.95 W,3.14 W
0:23:45,3.91 W,3.24 W
0:24:00,4.00 W,2.40 W
0:24:15,4.28 W,3.38 W
0:24:30,4.15 W,3.18 W
0:24:45,3.80 W,2.78 W
0:25:00,3.42 W,3.61 W
0:25:15,3.62 W,3.72 W
0:25:30,3.47 W,3.26 W
0:25:45,3.40 W,4.08 W
0:26:00,3.73 W,3.74 W
0:26:15,3.48 W,3.24 W
0:26:30,3.18 W,3.09 W
0:26:45,3.37 W,2.00 W
0:27:00,3.09 W,3.07 W
0:27:15,4.07 W,3.07 W
0:27:30,3.51 W,2.95 W
0:27:45,3.63 W,3.23 W
0:28:00,4.00 W,3.43 W
0:28:15,3.91 W,3.19 W
0:28:30,3.69 W,3.53 W
0:28:45,3.86 W,3.67 W
0:29:00,3.70 W,3.54 W
0:29:15,4.04 W,3.71 W
0:29:30,3.45 W,3.21 W
0:29:45,3.79 W,3.78 W
0:30:00,4.21 W,0.287 W